Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,Ht,OD,bf,B,tw,tf,tnom,tdes,Ix,Iy,J
W,W44X408,W44X408,408,120,44.8,,,16.1,,1.22,2.17,,,38700,1520,134
W,W44X368,W44X368,368,108,44.4,,,16,,1.1,1.97,,,34700,1350,100
W,W44X335,W44X335,335,98.5,44,,,15.9,,1.03,1.77,,,31100,1200,74.7
W,W44X290,W44X290,290,85.4,43.6,,,15.8,,0.865,1.58,,,27000,1040,50.9
W,W44X262,W44X262,262,77.2,43.3,,,15.8,,0.785,1.42,,,24100,923,37.3
W,W44X230,W44X230,230,67.8,42.9,,,15.8,,0.71,1.22,,,20800,796,24.9
W,W40X655,W40X655,655,193,43.6,,,16.9,,1.97,3.54,,,56500,2870,589
W,W40X593,W40X593,593,174,43,,,16.7,,1.79,3.23,,,50400,2520,445
W,W40X503,W40X503,503,148,42.1,,,16.4,,1.54,2.76,,,41600,2040,277
W,W40X431,W40X431,431,127,41.3,,,16.2,,1.34,2.36,,,34800,1690,177
W,W40X397,W40X397,397,117,41,,,16.1,,1.22,2.2,,,32000,1540,142
W,W40X372,W40X372,372,110,40.6,,,16.1,,1.16,2.05,,,29600,1420,116
W,W40X362,W40X362,362,106,40.6,,,16,,1.12,2.01,,,28900,1380,109
W,W40X324,W40X324,324,95.3,40.2,,,15.9,,1,1.81,,,25600,1220,79.4
W,W40X297,W40X297,297,87.3,39.8,,,15.8,,0.93,1.65,,,23200,1090,61.2
W,W40X277,W40X277,277,81.5,39.7,,,15.8,,0.83,1.58,,,21900,1040,51.5
W,W40X249,W40X249,249,73.5,39.4,,,15.8,,0.75,1.42,,,19600,926,38.1
W,W40X215,W40X215,215,63.5,39,,,15.8,,0.65,1.22,,,16700,803,24.8
W,W40X199,W40X199,199,58.8,38.7,,,15.8,,0.65,1.07,,,14900,695,18.3
W,W40X392,W40X392,392,116,41.6,,,12.4,,1.42,2.52,,,29900,803,172
W,W40X331,W40X331,331,97.7,40.8,,,12.2,,1.22,2.13,,,24700,644,105
W,W40X327,W40X327,327,95.9,40.8,,,12.1,,1.18,2.13,,,24500,640,103
W,W40X294,W40X294,294,86.2,40.4,,,12,,1.06,1.93,,,21900,562,76.6
W,W40X278,W40X278,278,82.3,40.2,,,12,,1.03,1.81,,,20500,521,65
W,W40X264,W40X264,264,77.4,40,,,11.9,,0.96,1.73,,,19400,493,56.1
W,W40X235,W40X235,235,69.1,39.7,,,11.9,,0.83,1.58,,,17400,444,41.3
W,W40X211,W40X211,211,62.1,39.4,,,11.8,,0.75,1.42,,,15500,390,30.4
W,W40X183,W40X183,183,53.3,39,,,11.8,,0.65,1.2,,,13200,331,19.3
W,W40X167,W40X167,167,49.3,38.6,,,11.8,,0.65,1.03,,,11600,283,14
W,W40X149,W40X149,149,43.8,38.2,,,11.8,,0.63,0.83,,,9800,229,9.36
W,W36X925,W36X925,925,272,43.1,,,18.6,,3.02,4.53,,,73000,4940,1430
W,W36X853,W36X853,853,251,43.1,,,18.2,,2.52,4.53,,,70000,4600,1240
W,W36X802,W36X802,802,236,42.6,,,18,,2.38,4.29,,,64800,4210,1050
W,W36X723,W36X723,723,213,41.8,,,17.8,,2.17,3.9,,,57300,3700,785
W,W36X652,W36X652,652,192,41.1,,,17.6,,1.97,3.54,,,50600,3230,593
W,W36X529,W36X529,529,156,39.8,,,17.2,,1.61,2.91,,,39600,2490,327
W,W36X487,W36X487,487,143,39.3,,,17.1,,1.5,2.68,,,36000,2250,258
W,W36X441,W36X441,441,130,38.9,,,17,,1.36,2.44,,,32100,1990,194
W,W36X395,W36X395,395,116,38.4,,,16.8,,1.22,2.2,,,28500,1750,142
W,W36X361,W36X361,361,106,38,,,16.7,,1.12,2.01,,,25700,1570,109
W,W36X330,W36X330,330,96.9,37.7,,,16.6,,1.02,1.85,,,23300,1420,84.3
W,W36X302,W36X302,302,89,37.3,,,16.7,,0.945,1.68,,,21100,1300,64.3
W,W36X282,W36X282,282,82.9,37.1,,,16.6,,0.885,1.57,,,19600,1200,52.7
W,W36X262,W36X262,262,77.2,36.9,,,16.6,,0.84,1.44,,,17900,1090,41.6
W,W36X247,W36X247,247,72.5,36.7,,,16.5,,0.8,1.35,,,16700,1010,34.7
W,W36X231,W36X231,231,68.2,36.5,,,16.5,,0.76,1.26,,,15600,940,28.7
W,W36X387,W36X387,387,114,39.1,,,12.7,,1.42,2.56,,,26500,882,172
W,W36X350,W36X350,350,103,38.6,,,12.6,,1.3,2.32,,,23600,780,129
W,W36X318,W36X318,318,93.4,38.2,,,12.4,,1.18,2.13,,,21200,682,98.3
W,W36X286,W36X286,286,83.9,37.8,,,12.3,,1.06,1.93,,,18900,602,72.8
W,W36X256,W36X256,256,75.3,37.4,,,12.2,,0.96,1.73,,,16800,528,52.9
W,W36X232,W36X232,232,68,37.1,,,12.1,,0.87,1.57,,,15000,468,39.6
W,W36X210,W36X210,210,61.9,36.7,,,12.2,,0.83,1.36,,,13200,411,28
W,W36X194,W36X194,194,57,36.5,,,12.1,,0.765,1.26,,,12100,375,22.2
W,W36X182,W36X182,182,53.6,36.3,,,12.1,,0.725,1.18,,,11300,347,18.5
W,W36X170,W36X170,170,50,36.2,,,12,,0.68,1.1,,,10500,320,15.1
W,W36X160,W36X160,160,47,36,,,12,,0.65,1.02,,,9760,295,12.4
W,W36X150,W36X150,150,44.3,35.9,,,12,,0.625,0.94,,,9040,270,10.1
W,W36X135,W36X135,135,39.9,35.6,,,12,,0.6,0.79,,,7800,225,7
W,W33X387,W33X387,387,114,36,,,16.2,,1.26,2.28,,,24300,1620,148
W,W33X354,W33X354,354,104,35.6,,,16.1,,1.16,2.09,,,22000,1460,115
W,W33X318,W33X318,318,93.7,35.2,,,16,,1.04,1.89,,,19500,1290,84.4
W,W33X291,W33X291,291,85.6,34.8,,,15.9,,0.96,1.73,,,17700,1160,65.1
W,W33X263,W33X263,263,77.4,34.5,,,15.8,,0.87,1.57,,,15900,1040,48.7
